league,team,logo_path,status,notes
austria,EC Red Bull Salzburg,assets/club_symbols/austria/ec-red-bull-salzburg.png,missing,
austria,EC iDM Wärmepumpen VSV,assets/club_symbols/austria/ec-idm-w-rmepumpen-vsv.jpg,ready,
austria,EC-KAC,assets/club_symbols/austria/ec-kac.svg,ready,
austria,FTC-Telekom,assets/club_symbols/austria/ftc-telekom.png,missing,
austria,HC Falkensteiner Pustertal,assets/club_symbols/austria/hc-falkensteiner-pustertal.png,missing,
austria,HC TIWAG Innsbruck - Die Haie,assets/club_symbols/austria/hc-tiwag-innsbruck-die-haie.png,missing,
austria,HCB Südtirol Alperia,assets/club_symbols/austria/hcb-s-dtirol-alperia.png,missing,
austria,Hydro Fehervar AV 19,assets/club_symbols/austria/hydro-fehervar-av-19.png,missing,
austria,Moser Medical Graz99ers,assets/club_symbols/austria/moser-medical-graz99ers.png,missing,
austria,Olimpija Ljubljana,assets/club_symbols/austria/olimpija-ljubljana.png,missing,
austria,Pioneers Vorarlberg,assets/club_symbols/austria/pioneers-vorarlberg.png,missing,
austria,Steinbach Black Wings Linz,assets/club_symbols/austria/steinbach-black-wings-linz.png,ready,
austria,Vienna Capitals,assets/club_symbols/austria/vienna-capitals.jpg,ready,
czech,BK Mladá Boleslav,assets/club_symbols/czech/bk-mlad-boleslav.jpg,missing,
czech,Bílí Tygři Liberec,assets/club_symbols/czech/b-l-tyg-i-liberec.png,missing,
czech,HC Dynamo Pardubice,assets/club_symbols/czech/hc-dynamo-pardubice.png,missing,
czech,HC Energie Karlovy Vary,assets/club_symbols/czech/hc-energie-karlovy-vary.png,missing,
czech,HC Kometa Brno,assets/club_symbols/czech/hc-kometa-brno.png,missing,
czech,HC Oceláři Třinec,assets/club_symbols/czech/hc-ocel-i-t-inec.png,missing,
czech,HC Olomouc,assets/club_symbols/czech/hc-olomouc.jpg,missing,
czech,HC Sparta Praha,assets/club_symbols/czech/hc-sparta-praha.jpg,missing,
czech,HC VERVA Litvínov,assets/club_symbols/czech/hc-verva-litv-nov.jpg,missing,
czech,HC VÍTKOVICE RIDERA,assets/club_symbols/czech/hc-v-tkovice-ridera.jpg,missing,
czech,HC Škoda Plzeň,assets/club_symbols/czech/hc-koda-plze.jpg,missing,
czech,Mountfield HK,assets/club_symbols/czech/mountfield-hk.png,missing,
czech,Rytíři Kladno,assets/club_symbols/czech/ryt-i-kladno.jpg,missing,
czech,Č. Budějovice,assets/club_symbols/czech/bud-jovice.png,missing,
finland,HIFK,assets/club_symbols/finland/hifk.svg,missing,
finland,HPK,assets/club_symbols/finland/hpk.png,missing,
finland,Ilves,assets/club_symbols/finland/ilves.jpg,missing,
finland,JYP,assets/club_symbols/finland/jyp.svg,missing,
finland,Jukurit,assets/club_symbols/finland/jukurit.png,missing,
finland,K-Espoo,assets/club_symbols/finland/k-espoo.png,missing,
finland,KalPa,assets/club_symbols/finland/kalpa.jpg,missing,
finland,KooKoo,assets/club_symbols/finland/kookoo.png,missing,
finland,Kärpät,assets/club_symbols/finland/k-rp-t.jpg,missing,
finland,Lukko,assets/club_symbols/finland/lukko.jpg,missing,
finland,Pelicans,assets/club_symbols/finland/pelicans.jpg,missing,
finland,SaiPa,assets/club_symbols/finland/saipa.png,missing,
finland,Sport,assets/club_symbols/finland/sport.png,missing,
finland,TPS,assets/club_symbols/finland/tps.jpg,missing,
finland,Tappara,assets/club_symbols/finland/tappara.jpg,missing,
finland,Ässät,assets/club_symbols/finland/ss-t.png,missing,
germany,Adler Mannheim,assets/club_symbols/germany/adler-mannheim.jpg,missing,
germany,Augsburger Panther,assets/club_symbols/germany/augsburger-panther.png,missing,
germany,Dresdner Eislöwen,assets/club_symbols/germany/dresdner-eisl-wen.jpg,missing,
germany,EHC Red Bull München,assets/club_symbols/germany/ehc-red-bull-m-nchen.png,missing,
germany,ERC Ingolstadt,assets/club_symbols/germany/erc-ingolstadt.png,missing,
germany,Eisbären Berlin,assets/club_symbols/germany/eisb-ren-berlin.jpg,missing,
germany,Grizzlys Wolfsburg,assets/club_symbols/germany/grizzlys-wolfsburg.png,missing,
germany,Iserlohn Roosters,assets/club_symbols/germany/iserlohn-roosters.png,missing,
germany,Kölner Haie,assets/club_symbols/germany/k-lner-haie.jpg,missing,
germany,Löwen Frankfurt,assets/club_symbols/germany/l-wen-frankfurt.png,missing,
germany,Nürnberg Ice Tigers,assets/club_symbols/germany/n-rnberg-ice-tigers.png,missing,
germany,Pinguins Bremerhaven,assets/club_symbols/germany/pinguins-bremerhaven.jpg,missing,
germany,Schwenninger Wild Wings,assets/club_symbols/germany/schwenninger-wild-wings.png,missing,
germany,Straubing Tigers,assets/club_symbols/germany/straubing-tigers.png,missing,
slovakia,HC 19 Humenné,assets/club_symbols/slovakia/hc-19-humenn.png,missing,
slovakia,HC Košice s.r.o.,assets/club_symbols/slovakia/hc-ko-ice-s-r-o.png,missing,
slovakia,"HC SLOVAN Bratislava, a.s.",assets/club_symbols/slovakia/hc-slovan-bratislava-a-s.png,missing,
slovakia,"HC ‘05 BANSKÁ BYSTRICA, a.s.",assets/club_symbols/slovakia/hc-05-bansk-bystrica-a-s.png,missing,
slovakia,"HK Nitra, s.r.o.",assets/club_symbols/slovakia/hk-nitra-s-r-o.png,missing,
slovakia,"HK Rysy, s.r.o.",assets/club_symbols/slovakia/hk-rysy-s-r-o.png,missing,
slovakia,"HK Skalica, s.r.o.",assets/club_symbols/slovakia/hk-skalica-s-r-o.png,missing,
slovakia,HKM a.s,assets/club_symbols/slovakia/hkm-a-s.jpg,missing,
slovakia,"Hokejový klub DUKLA Trenčín, a.s.",assets/club_symbols/slovakia/hokejov-klub-dukla-tren-n-a-s.png,missing,
slovakia,Hokejový klub Dukla Ingema Michalovce,assets/club_symbols/slovakia/hokejov-klub-dukla-ingema-michalovce.png,missing,
slovakia,Hokejový klub Poprad a.s.,assets/club_symbols/slovakia/hokejov-klub-poprad-a-s.jpg,missing,
slovakia,"Mestský Hokejový klub 32 Liptovský Mikuláš, a.s.",assets/club_symbols/slovakia/mestsk-hokejov-klub-32-liptovsk-mikul-a-s.png,missing,
slovakia,Presov Hockey a.s.,assets/club_symbols/slovakia/presov-hockey-a-s.png,missing,
slovakia,"VLCI ŽILINA, a.s.",assets/club_symbols/slovakia/vlci-ilina-a-s.png,missing,
sweden,Brynäs IF,assets/club_symbols/sweden/bryn-s-if.png,missing,
sweden,Djurgårdens IF,assets/club_symbols/sweden/djurg-rdens-if.png,missing,
sweden,Frölunda HC,assets/club_symbols/sweden/fr-lunda-hc.jpg,missing,
sweden,Färjestad BK,assets/club_symbols/sweden/f-rjestad-bk.png,missing,
sweden,IF Malmö Redhawks,assets/club_symbols/sweden/if-malm-redhawks.jpg,missing,
sweden,Luleå HF,assets/club_symbols/sweden/lule-hf.jpg,missing,
sweden,Rögle BK,assets/club_symbols/sweden/r-gle-bk.jpg,missing,
sweden,Skellefteå AIK,assets/club_symbols/sweden/skellefte-aik.jpg,missing,
sweden,Växjö Lakers HC,assets/club_symbols/sweden/v-xj-lakers-hc.jpg,missing,
sweden,Örebro HK,assets/club_symbols/sweden/rebro-hk.jpg,missing,
switzerland,EHC Biel-Bienne,assets/club_symbols/switzerland/ehc-biel-bienne.jpg,missing,
switzerland,EHC Kloten,assets/club_symbols/switzerland/ehc-kloten.png,missing,
switzerland,EV Zug,assets/club_symbols/switzerland/ev-zug.png,missing,
switzerland,Fribourg-Gottéron,assets/club_symbols/switzerland/fribourg-gott-ron.png,missing,
switzerland,Genève-Servette HC,assets/club_symbols/switzerland/gen-ve-servette-hc.svg,missing,
switzerland,HC Ajoie,assets/club_symbols/switzerland/hc-ajoie.jpg,missing,
switzerland,HC Ambri-Piotta,assets/club_symbols/switzerland/hc-ambri-piotta.svg,missing,
switzerland,HC Davos,assets/club_symbols/switzerland/hc-davos.svg,missing,
switzerland,HC Lugano,assets/club_symbols/switzerland/hc-lugano.png,missing,
switzerland,Lausanne HC,assets/club_symbols/switzerland/lausanne-hc.svg,missing,
switzerland,SC Bern,assets/club_symbols/switzerland/sc-bern.jpg,missing,
switzerland,SC Rapperswil-Jona Lakers,assets/club_symbols/switzerland/sc-rapperswil-jona-lakers.svg,missing,
switzerland,SCL Tigers,assets/club_symbols/switzerland/scl-tigers.svg,missing,
switzerland,SCRJ Lakers,assets/club_symbols/switzerland/scrj-lakers.svg,missing,
switzerland,ZSC Lions,assets/club_symbols/switzerland/zsc-lions.png,missing,
