player,team,goals,assists,penalties,pim,points
"MARTEL, Danick",HK Spišská Nová Ves,0.0,0.0,11.0,22.0,0.0
"MCISAAC, Jared William",HK Spišská Nová Ves,0.0,0.0,11.0,22.0,0.0
"ROMAŇÁK, Dávid",HK Spišská Nová Ves,0.0,0.0,11.0,22.0,0.0
"SPROUL, Ryan",HK Poprad,0.0,0.0,11.0,22.0,0.0
"TAKÁČ, Samuel",Slovan Bratislava,0.0,0.0,11.0,22.0,0.0
"ZIGO, Tomáš",HC MONACObet B.Bystrica,0.0,0.0,11.0,22.0,0.0
"BUČKO, Martin",HC Košice,0.0,0.0,10.0,20.0,0.0
"DAKHNOVSKYI, Oleksii",HC Košice,0.0,0.0,10.0,20.0,0.0
"FARREN, Michael",HK 32 Liptovský Mikuláš,0.0,0.0,10.0,20.0,0.0
"JOKEĽ, Oliver",HC Prešov,0.0,0.0,10.0,20.0,0.0
"KOSTENKO, Dmitrii",HK Nitra,0.0,0.0,10.0,20.0,0.0
"KOYŠ, Patrik",Vlci Žilina,0.0,0.0,10.0,20.0,0.0
"LUNTER, Mário",HC Košice,0.0,0.0,10.0,20.0,0.0
"MATOUŠEK, Tomáš",HC MONACObet B.Bystrica,0.0,0.0,10.0,20.0,0.0
"ROGOŇ, Patrik",HC Košice,0.0,0.0,10.0,20.0,0.0
"SVITANA, Patrik",HK Dukla Michalovce,0.0,0.0,6.0,20.0,0.0
"VANKÚŠ, Marek",HK 32 Liptovský Mikuláš,0.0,0.0,10.0,20.0,0.0
"CALOF, Andrew",HK Poprad,0.0,0.0,9.0,18.0,0.0
"DEJ, Rastislav",Vlci Žilina,0.0,0.0,9.0,18.0,0.0
"DRGOŇ, Adam",HK Dukla Trenčín,0.0,0.0,9.0,18.0,0.0
"HLAVÁČ, Matúš",HK Dukla Trenčín,0.0,0.0,9.0,18.0,0.0
"HOLENDA, Matúš",Vlci Žilina,0.0,0.0,9.0,18.0,0.0
"KORENČIK, Marek",Vlci Žilina,0.0,0.0,9.0,18.0,0.0
"LUCAS, Andrew Eric",HC MONACObet B.Bystrica,0.0,0.0,10.0,18.0,0.0
"MEZEI, Branislav",HK Nitra,0.0,0.0,9.0,18.0,0.0
"O'CONNOR, Ryan Joseph",Slovan Bratislava,0.0,0.0,9.0,18.0,0.0
"PETRÁŠ, Šimon",HC Košice,0.0,0.0,9.0,18.0,0.0
"STANČEK, Michal",HK Poprad,0.0,0.0,9.0,18.0,0.0
"ŠIŠKA, Juraj",HK Dukla Trenčín,0.0,0.0,9.0,18.0,0.0
"BALÁŽ, Jozef",Vlci Žilina,0.0,0.0,8.0,16.0,0.0
"BERGER, Carter Bruce Robert",HKM Zvolen,0.0,0.0,8.0,16.0,0.0
"CARMICHAEL, Elias",HK Nitra,0.0,0.0,8.0,16.0,0.0
"DIAKOV, Kirill",Vlci Žilina,0.0,0.0,8.0,16.0,0.0
"DURANDEAU, Arnaud",HKM Zvolen,0.0,0.0,8.0,16.0,0.0
"GIROUX, Damien",HK Spišská Nová Ves,0.0,0.0,8.0,16.0,0.0
"KARAFFA, Roman",HK Spišská Nová Ves,0.0,0.0,4.0,16.0,0.0
"KOWALCZYK, Daniel",HKM Zvolen,0.0,0.0,8.0,16.0,0.0
"LESKINEN, Ville Elmeri",HK Dukla Trenčín,0.0,0.0,8.0,16.0,0.0
"MACDOUGALL, Ross Patrick",HC Prešov,0.0,0.0,8.0,16.0,0.0
"MACEJKO, Miroslav",HK Dukla Michalovce,0.0,0.0,8.0,16.0,0.0
"TURNBULL, Carter Christopher",HC MONACObet B.Bystrica,0.0,0.0,8.0,16.0,0.0
"ŠANDOR, Peter",HK 32 Liptovský Mikuláš,0.0,0.0,8.0,16.0,0.0
"ŽIAK, Adam",HK Spišská Nová Ves,0.0,0.0,8.0,16.0,0.0
"BARTÁNUS, Marek",HK Dukla Michalovce,0.0,0.0,7.0,14.0,0.0
"BORTŇÁK, Dalibor",HK Spišská Nová Ves,0.0,0.0,7.0,14.0,0.0
"CHALUPA, Samuel",HC Prešov,0.0,0.0,7.0,14.0,0.0
"DMOWSKI, Ryan",Slovan Bratislava,0.0,0.0,7.0,14.0,0.0
"DŽUGAN, Róbert",HK Spišská Nová Ves,0.0,0.0,8.0,14.0,0.0
"HAIN, Gavin Ross",HK Spišská Nová Ves,0.0,0.0,8.0,14.0,0.0
"HAIN, Samuel",HC Prešov,0.0,0.0,7.0,14.0,0.0
"HUDEC, Denis",HK Dukla Trenčín,0.0,0.0,7.0,14.0,0.0
"JACKSON III, Robert Lockwood",HK Nitra,0.0,0.0,7.0,14.0,0.0
"JASENEC, Michal",HC MONACObet B.Bystrica,0.0,0.0,7.0,14.0,0.0
"KRAJČOVIČ, Andrej",HK Dukla Trenčín,0.0,0.0,7.0,14.0,0.0
"KUKUMBERG, Roman",Slovan Bratislava,0.0,0.0,3.0,14.0,0.0
"LUNTER, Lukáš",HKM Zvolen,0.0,0.0,7.0,14.0,0.0
"MACEK, Matej",HKM Zvolen,0.0,0.0,7.0,14.0,0.0
"NÁTNY, Dávid",HC Prešov,0.0,0.0,7.0,14.0,0.0
"ONDRUŠEK, Richard",HC MONACObet B.Bystrica,0.0,0.0,7.0,14.0,0.0
"VARGA, Adam Brandon",HK Dukla Michalovce,0.0,0.0,7.0,14.0,0.0
"ZELEŇÁK, Vojtech",Slovan Bratislava,0.0,0.0,7.0,14.0,0.0
"BLAŠKO, Ján",HC Prešov,0.0,0.0,6.0,12.0,0.0
"BUBELA, Miloš",HK Dukla Trenčín,0.0,0.0,6.0,12.0,0.0
"DRÁBEK, Michael",HK Spišská Nová Ves,0.0,0.0,6.0,12.0,0.0
"GIĽÁK, Matej",HK Spišská Nová Ves,0.0,0.0,6.0,12.0,0.0
"GROCH, Šimon",HK Spišská Nová Ves,0.0,0.0,6.0,12.0,0.0
"JENDEK, Dominik",Slovan Bratislava,0.0,0.0,6.0,12.0,0.0
"KOZÁK, Lukáš",HC Prešov,0.0,0.0,7.0,12.0,0.0
"LEFEBVRE, Martin",HK Poprad,0.0,0.0,7.0,12.0,0.0
"MUCHA, Miroslav",Vlci Žilina,0.0,0.0,6.0,12.0,0.0
"SEMAŇÁK, Martin",HC Prešov,0.0,0.0,6.0,12.0,0.0
"SERTTI, Lauri Aleksi",HK Dukla Michalovce,0.0,0.0,6.0,12.0,0.0
"SUJA, Jakub",HC Prešov,0.0,0.0,6.0,12.0,0.0
"TROOCK, Branden Curtis",HKM Zvolen,0.0,0.0,6.0,12.0,0.0
"ŠOTEK, Alex",HK Poprad,0.0,0.0,6.0,12.0,0.0
"ARCHAMBAULT, Olivier",HK Spišská Nová Ves,0.0,0.0,5.0,10.0,0.0
"BAKOŠ, Martin",Slovan Bratislava,0.0,0.0,5.0,10.0,0.0
"BLAŠKO, Ján",HC Košice,0.0,0.0,5.0,10.0,0.0
"BUČEK, Samuel",HK Nitra,0.0,0.0,5.0,10.0,0.0
"CHRENKO, Tomáš",HK Nitra,0.0,0.0,5.0,10.0,0.0
"GRON, Stanislav",HC MONACObet B.Bystrica,0.0,0.0,5.0,10.0,0.0
"HUDEC, Marek",HC Prešov,0.0,0.0,5.0,10.0,0.0
"JASEČKO, Sebastian",HC Prešov,0.0,0.0,5.0,10.0,0.0
"KRAJČ, Samuel",HK Dukla Trenčín,0.0,0.0,5.0,10.0,0.0
"LAWRENCE, Joshua",HK Nitra,0.0,0.0,5.0,10.0,0.0
"RAPUZZI, William Charles",HC Prešov,0.0,0.0,5.0,10.0,0.0
"STAROSTA, Tomáš",HK Dukla Trenčín,0.0,0.0,5.0,10.0,0.0
"TOMKA, Lukáš",HC MONACObet B.Bystrica,0.0,0.0,5.0,10.0,0.0
"VIEDENSKÝ, Marek",HK Spišská Nová Ves,0.0,0.0,5.0,10.0,0.0
"ČEDERLE, Sebastián",HK Nitra,0.0,0.0,5.0,10.0,0.0
"BEZÚCH, Juraj",HK Dukla Trenčín,0.0,0.0,4.0,8.0,0.0
"EPERJEŠI, Leo",HC Prešov,0.0,0.0,4.0,8.0,0.0
"FERKODIČ, Max",HK 32 Liptovský Mikuláš,0.0,0.0,4.0,8.0,0.0
"GALAMBOŠ, Peter",Vlci Žilina,0.0,0.0,4.0,8.0,0.0
"GIĽÁK, Matej",HC Prešov,0.0,0.0,4.0,8.0,0.0
"GRAHAM, Jesse",HK Nitra,0.0,0.0,4.0,8.0,0.0
"INDRASIS, Miks",HC Prešov,0.0,0.0,4.0,8.0,0.0
"JÄÄSKELÄINEN, Joona Anttoni",HKM Zvolen,0.0,0.0,4.0,8.0,0.0
"KADYROV, Danila",HC Prešov,0.0,0.0,4.0,8.0,0.0
"KASPICK, Tanner John",HK Spišská Nová Ves,0.0,0.0,4.0,8.0,0.0
"KASPICK, Tanner John",HKM Zvolen,0.0,0.0,4.0,8.0,0.0
"KOBOLKA, Adam",HKM Zvolen,0.0,0.0,6.0,8.0,0.0
"KOTVAN, Oldrich",HK 32 Liptovský Mikuláš,0.0,0.0,4.0,8.0,0.0
"KOZÁK, Lukáš",HK 32 Liptovský Mikuláš,0.0,0.0,4.0,8.0,0.0
"KRIŠTOF, Michal",HK Nitra,0.0,0.0,4.0,8.0,0.0
"LAPŠANSKÝ, Adam",HK Dukla Trenčín,0.0,0.0,4.0,8.0,0.0
"LUPTÁK, Matej Ján",Slovan Bratislava,0.0,0.0,4.0,8.0,0.0
"MALINA, Ľubomír",HK Poprad,0.0,0.0,4.0,8.0,0.0
"MESSNER, Mick Garett",HC MONACObet B.Bystrica,0.0,0.0,4.0,8.0,0.0
"NEMEC, Adam",HK Nitra,0.0,0.0,4.0,8.0,0.0
"PALOČKO, Matej",HK Spišská Nová Ves,0.0,0.0,4.0,8.0,0.0
"PLOKHOTNIK, Oleksandr",HC Košice,0.0,0.0,4.0,8.0,0.0
"REWAY, Martin",HK 32 Liptovský Mikuláš,0.0,0.0,4.0,8.0,0.0
"TAYLOR, Zachary George",HC Prešov,0.0,0.0,4.0,8.0,0.0
"TYCHONICK, Jonathan Kerry Brian",HK Spišská Nová Ves,0.0,0.0,4.0,8.0,0.0
"ULLMAN, Erik Mikael",HC Prešov,0.0,0.0,5.0,8.0,0.0
"VANDAS, Michael",HK Poprad,0.0,0.0,4.0,8.0,0.0
"ČAJKOVIČ, Alex",HK 32 Liptovský Mikuláš,0.0,0.0,4.0,8.0,0.0
"ŠIMUN, Eduard",Slovan Bratislava,0.0,0.0,4.0,8.0,0.0
"BARTOVIČ, Adrien",Vlci Žilina,0.0,0.0,3.0,6.0,0.0
"BERLEV, Anton",HC Prešov,0.0,0.0,3.0,6.0,0.0
"DEYL, Radek",HC Košice,0.0,0.0,3.0,6.0,0.0
"DUBRAVÍK, Jakub",Vlci Žilina,0.0,0.0,3.0,6.0,0.0
"FABUŠ, Andrej",Slovan Bratislava,0.0,0.0,3.0,6.0,0.0
"FEJES, Samuel Hunter",HC Prešov,0.0,0.0,3.0,6.0,0.0
"HAIN, Samuel",HK Dukla Trenčín,0.0,0.0,3.0,6.0,0.0
"JOSLING, Sean",HK Dukla Trenčín,0.0,0.0,3.0,6.0,0.0
"KALMAN, Adam",HK Nitra,0.0,0.0,3.0,6.0,0.0
"KOHÚT, Dávid",HC Košice,0.0,0.0,3.0,6.0,0.0
"KOTVAN, Oldrich",HK Poprad,0.0,0.0,3.0,6.0,0.0
"KUDRNA, Andrej",HKM Zvolen,0.0,0.0,4.0,6.0,0.0
"LEBEDEFF, Aleksi Daniel",HK 32 Liptovský Mikuláš,0.0,0.0,3.0,6.0,0.0
"MACEJKO, Miroslav",HC Prešov,0.0,0.0,3.0,6.0,0.0
"MITRO, Sebastián",HC Košice,0.0,0.0,3.0,6.0,0.0
"PALOČKO, Matej",HC Prešov,0.0,0.0,3.0,6.0,0.0
"POBEŽAL, Jakub",Vlci Žilina,0.0,0.0,3.0,6.0,0.0
"RABČAN, Eugen",HC MONACObet B.Bystrica,0.0,0.0,3.0,6.0,0.0
"SAVOIE, Carter Patrick",HK Spišská Nová Ves,0.0,0.0,3.0,6.0,0.0
"SHINNIMIN, Brendan Reid",Slovan Bratislava,0.0,0.0,3.0,6.0,0.0
"STAS, Viktor",HK Spišská Nová Ves,0.0,0.0,3.0,6.0,0.0
"STRÁNSKÝ, David",HC MONACObet B.Bystrica,0.0,0.0,3.0,6.0,0.0
"TUMANOVS, Miks",HC Prešov,0.0,0.0,3.0,6.0,0.0
"VARGA, Timotej",HC Košice,0.0,0.0,3.0,6.0,0.0
"VITOLINŠ, Raimonds Mikus",HK Dukla Trenčín,0.0,0.0,3.0,6.0,0.0
"WESLEY, Joshua Jared",HKM Zvolen,0.0,0.0,3.0,6.0,0.0
"WILL, Logan August",HK Spišská Nová Ves,0.0,0.0,3.0,6.0,0.0
"ZABUSOVS, Patriks",HC Prešov,0.0,0.0,3.0,6.0,0.0
"ŠMÍDA, Sebastián",Vlci Žilina,0.0,0.0,3.0,6.0,0.0
"BELÁNYI, Filip",HK Poprad,0.0,0.0,2.0,4.0,0.0
"BETÁK, Šimon",Vlci Žilina,0.0,0.0,2.0,4.0,0.0
"BRINCKO, Boris",Slovan Bratislava,0.0,0.0,2.0,4.0,0.0
"BUKARTS, Rihards",HC Prešov,0.0,0.0,2.0,4.0,0.0
"CORMIER, Tommy",HC Prešov,0.0,0.0,2.0,4.0,0.0
"DEJ, František",HC MONACObet B.Bystrica,0.0,0.0,2.0,4.0,0.0
"FEKIAČ, Viktor",HKM Zvolen,0.0,0.0,2.0,4.0,0.0
"FERGUSON, Dylan",HK Nitra,0.0,0.0,2.0,4.0,0.0
"GABOR, Ralph Kevin",HK Poprad,0.0,0.0,2.0,4.0,0.0
"GADZHIEV, Shikhabutdin",HK Nitra,0.0,0.0,2.0,4.0,0.0
"GLOSÁR, Vladimír",HK Dukla Michalovce,0.0,0.0,2.0,4.0,0.0
"GODLA, Denis",HK Spišská Nová Ves,0.0,0.0,2.0,4.0,0.0
"HANNOUN, Dante",HC Prešov,0.0,0.0,2.0,4.0,0.0
"HECL, Marek",HKM Zvolen,0.0,0.0,2.0,4.0,0.0
"HOUSER, Michael William",HK 32 Liptovský Mikuláš,0.0,0.0,3.0,4.0,0.0
"HRENÁK, Dávid",HK Dukla Trenčín,0.0,0.0,2.0,4.0,0.0
"HRENÁK, Marko",HK Dukla Trenčín,0.0,0.0,2.0,4.0,0.0
"IBRAGIMOV, Timur",HK 32 Liptovský Mikuláš,0.0,0.0,2.0,4.0,0.0
"JANUS, Jaroslav",HC Prešov,0.0,0.0,2.0,4.0,0.0
"KALIS, Martin",HK Dukla Trenčín,0.0,0.0,2.0,4.0,0.0
"KIVIAHO, Henri",Slovan Bratislava,0.0,0.0,2.0,4.0,0.0
"KVIETOK, Jakub",HC Košice,0.0,0.0,2.0,4.0,0.0
"LACOUVÉE, Connor James",Vlci Žilina,0.0,0.0,2.0,4.0,0.0
"LAFERRIERE - MAILFAIT, Mathias Alan Theo",HKM Zvolen,0.0,0.0,2.0,4.0,0.0
"LAURENČÍK, Michal",HK Dukla Trenčín,0.0,0.0,2.0,4.0,0.0
"MEZOVSKÝ, Filip",HK 32 Liptovský Mikuláš,0.0,0.0,2.0,4.0,0.0
"NIJHOFF, Logan Alexander Robert",Slovan Bratislava,0.0,0.0,2.0,4.0,0.0
"PARKS, Tyler Richard Br",HK Poprad,0.0,0.0,2.0,4.0,0.0
"PETEREK, Jonáš",Slovan Bratislava,0.0,0.0,2.0,4.0,0.0
"PODOLINSKÝ, Richard",HK 32 Liptovský Mikuláš,0.0,0.0,2.0,4.0,0.0
"RAJNOHA, Erik",HK Dukla Trenčín,0.0,0.0,2.0,4.0,0.0
"ROCKWOOD, Adam",HK Spišská Nová Ves,0.0,0.0,2.0,4.0,0.0
"ROMANČÍK, Ladislav",HK Poprad,0.0,0.0,2.0,4.0,0.0
"SAFARALEEV, Igor",HK Dukla Michalovce,0.0,0.0,2.0,4.0,0.0
"SAFIN, Ostap",HK Dukla Trenčín,0.0,0.0,2.0,4.0,0.0
"SOLENSKÝ, Samuel",Slovan Bratislava,0.0,0.0,2.0,4.0,0.0
"TEASDALE, Joël",HK Spišská Nová Ves,0.0,0.0,2.0,4.0,0.0
"ULLMAN, Erik Mikael",HK Dukla Trenčín,0.0,0.0,2.0,4.0,0.0
"VAY, Adam",HK Poprad,0.0,0.0,2.0,4.0,0.0
"ZELEŇÁK, Vojtech",HC MONACObet B.Bystrica,0.0,0.0,2.0,4.0,0.0
"ČUNDERLÍK, Michal",HC MONACObet B.Bystrica,0.0,0.0,2.0,4.0,0.0
"ŠMÍDA, Sebastián",HK Dukla Michalovce,0.0,0.0,2.0,4.0,0.0
"ŠVEC, Jozef",HK Dukla Trenčín,0.0,0.0,2.0,4.0,0.0
(Podrazenie),Vlci Žilina,0.0,0.0,1.0,2.0,0.0
"ANDRISÍK, Patrik",Slovan Bratislava,0.0,0.0,1.0,2.0,0.0
"BAPTISTE, Nicholas Robert",HK Dukla Trenčín,0.0,0.0,1.0,2.0,0.0
"BARCÍK, Adam",HK Skalica,0.0,0.0,1.0,2.0,0.0
"BRACCO, Jeremy Robert",HK Poprad,0.0,0.0,1.0,2.0,0.0
"CIBÁK, Jakub",HC Košice,0.0,0.0,1.0,2.0,0.0
"DIAKOV, Kirill",HK Dukla Trenčín,0.0,0.0,1.0,2.0,0.0
"DUNKLEY, Nathan Keith",HC MONACObet B.Bystrica,0.0,0.0,1.0,2.0,0.0
"FAITH, Tobias",HK Dukla Michalovce,0.0,0.0,1.0,2.0,0.0
"FAITH, Tobias",HKM Zvolen,0.0,0.0,1.0,2.0,0.0
"FRANKOVIČ, Michal",HK Spišská Nová Ves,0.0,0.0,1.0,2.0,0.0
"FRIČ, Patrik",HC Prešov,0.0,0.0,1.0,2.0,0.0
"HRAŠKO, Peter",HKM Zvolen,0.0,0.0,1.0,2.0,0.0
"JANÍK, Ondrej",HK Skalica,0.0,0.0,1.0,2.0,0.0
"JURÍK, Juraj",HK Skalica,0.0,0.0,1.0,2.0,0.0
"JURČÁK, Patrik",HC Košice,0.0,0.0,1.0,2.0,0.0
"KADLUBIAK, Maxim",HK 32 Liptovský Mikuláš,0.0,0.0,1.0,2.0,0.0
"KALOUSEK, Miroslav",HK 32 Liptovský Mikuláš,0.0,0.0,1.0,2.0,0.0
"KALOUSEK, Simon",HC MONACObet B.Bystrica,0.0,0.0,1.0,2.0,0.0
"KANTOR, Pavel",HKM Zvolen,0.0,0.0,1.0,2.0,0.0
"KOTVAN, Branislav",HK 32 Liptovský Mikuláš,0.0,0.0,1.0,2.0,0.0
"KOTVAN, Branislav",HK Skalica,0.0,0.0,1.0,2.0,0.0
"KRIŠKA, Kristián",HK 32 Liptovský Mikuláš,0.0,0.0,1.0,2.0,0.0
"KUĽHA, Matej",HK Poprad,0.0,0.0,1.0,2.0,0.0
"LAURENČÍK, Michal",HC Prešov,0.0,0.0,1.0,2.0,0.0
"LINET, Jakub",HC Košice,0.0,0.0,1.0,2.0,0.0
"LIŠČINSKÝ, Michal",HC Košice,0.0,0.0,1.0,2.0,0.0
"LUŠŇÁK, Patrik",HC 19 Humenné,0.0,0.0,1.0,2.0,0.0
"MARUNA, Ondrej",HC Prešov,0.0,0.0,1.0,2.0,0.0
"MITENS, Egils Mareks",HC MONACObet B.Bystrica,0.0,0.0,1.0,2.0,0.0
"MYKLUKHA, Oleksiy",HC MONACObet B.Bystrica,0.0,0.0,1.0,2.0,0.0
"NEMEC, Richard",HK Skalica,0.0,0.0,1.0,2.0,0.0
"NILSSON LINDELÖF, Erik Alexander",HK Dukla Michalovce,0.0,0.0,1.0,2.0,0.0
"NOVAJOVSKÝ, Peter",HK Skalica,0.0,0.0,1.0,2.0,0.0
"NOVOTA, Alex",HC Prešov,0.0,0.0,1.0,2.0,0.0
"NOVOTA, Miroslav",HC Prešov,0.0,0.0,1.0,2.0,0.0
"PETRÍK, Roman",HKM Zvolen,0.0,0.0,1.0,2.0,0.0
"RAJNOHA, Erik",Vlci Žilina,0.0,0.0,1.0,2.0,0.0
"REZNIČÁK, Kristian",HK Dukla Trenčín,0.0,0.0,1.0,2.0,0.0
"RIEČICKÝ, Dominik",HC Košice,0.0,0.0,1.0,2.0,0.0
"RIMKO, Alex",HK Dukla Michalovce,0.0,0.0,1.0,2.0,0.0
"ROMAN, Michal",HK Dukla Michalovce,0.0,0.0,1.0,2.0,0.0
"RYCHLÍK, Roman",Vlci Žilina,0.0,0.0,1.0,2.0,0.0
"SENČÁK, David",HKM Zvolen,0.0,0.0,1.0,2.0,0.0
"SLOVÁK, Marek",HC Košice,0.0,0.0,1.0,2.0,0.0
"SLOVÁK, Marek",HKM Zvolen,0.0,0.0,1.0,2.0,0.0
"SLUKA, Martin",HK Poprad,0.0,0.0,1.0,2.0,0.0
"SLUKA, Martin",HK Spišská Nová Ves,0.0,0.0,1.0,2.0,0.0
"STAHOŇ, Ľuboš",HK Dukla Michalovce,0.0,0.0,1.0,2.0,0.0
"SUĽOVSKÝ, Michal",HKM Zvolen,0.0,0.0,1.0,2.0,0.0
"TOMA, Lukáš",HC 19 Humenné,0.0,0.0,1.0,2.0,0.0
"TURAN, Oliver",Slovan Bratislava,0.0,0.0,1.0,2.0,0.0
"TURANSKÝ, Artur",HK Spišská Nová Ves,0.0,0.0,1.0,2.0,0.0
"URBAN, Ján",HK Skalica,0.0,0.0,1.0,2.0,0.0
"VAJKO, Tomáš",Vlci Žilina,0.0,0.0,1.0,2.0,0.0
"VARTOVNÍK, Lukáš",HK Spišská Nová Ves,0.0,0.0,1.0,2.0,0.0
"VAŠKO, Filip",HC 19 Humenné,0.0,0.0,1.0,2.0,0.0
"VITOLS, Eriks",HC MONACObet B.Bystrica,0.0,0.0,1.0,2.0,0.0
"VRÁBEĽ, Filip",HC 19 Humenné,0.0,0.0,1.0,2.0,0.0
"VYLETELKA, Samuel",HC Prešov,0.0,0.0,1.0,2.0,0.0
"WONG, Tyler",HK Poprad,0.0,0.0,1.0,2.0,0.0
"ZAJAC, Nolan James",HK Spišská Nová Ves,0.0,0.0,1.0,2.0,0.0
"ZÁBORSKÝ, Tomáš",HK Dukla Trenčín,0.0,0.0,1.0,2.0,0.0
"ŠILLE, Timotej",HC Prešov,0.0,0.0,1.0,2.0,0.0
"ŠURANYI, Šimon",HK 32 Liptovský Mikuláš,0.0,0.0,1.0,2.0,0.0
"JACKO, Matej",HC 19 Humenné,0.0,0.0,1.0,0.0,0.0
